Site_ID,Natural Community,Macrogroup,Plot_ID,SP_Richness,EIA_score_NOSIZE,EIA_RANK_NOSIZE,cwCOC,cwFQI,avCOC,Percent_native plants,Plot number,OLDcwCOC,OLD_cwFQI,OLDavCOC,Size (m^2),Region
40,Red maple - sensitive fern swamp,Northern swamp,65,19,1.443333333,,1.679324895,7.320007509,2.526315789,0.611814346,1,1.4092827,6.142920874,1.894736842,400,58
40,Red maple - sensitive fern swamp,Northern swamp,66,14,1.443333333,,2.195,8.212937964,2.5,0.84,2,1.76,6.585317001,2,400,59
40,Red maple - sensitive fern swamp,Northern swamp,67,41,1.443333333,,2.286624204,14.64153886,3.195121951,0.707006369,Total site,1.630573248,10.44076309,2.341463415,,59
81,Hardwood river terrace forest,Large river floodplain,127,17,1.568333535,C,1.754189944,7.232710427,2.823529412,0.441340782,1,1.687150838,6.956301111,2.705882353,400,82
81,Hardwood river terrace forest,Large river floodplain,128,18,1.568333535,C,1.324840764,5.620823331,2.555555556,0.426751592,2,0.974522293,4.134547931,2.166666667,,82
48,Red maple - sensitive fern swamp,Northern swamp,77,49,1.606666667,C,3.914089347,27.39862543,4.142857143,0.965635739,1,2.855670103,19.98969072,3.081632653,400,59
25,Tidally Influenced Floodplain Forest,Large river floodplain,32,33,1.626666667,C,1.286516854,7.390476663,2.515151515,0.387640449,1,1.202247191,6.906384305,2.454545455,400,82
50,Red maple - sensitive fern swamp,Northern swamp,80,40,1.7,C,3.049180328,19.28470967,4.15,1,1,2.37295082,15.00785873,3.175,400,59
50,Red maple - sensitive fern swamp,Northern swamp,81,32,1.7,C,3.344155844,18.9174022,3.84375,0.967532468,2,2.324675325,13.15034949,2.75,400,59
50,Red maple - sensitive fern swamp,Northern swamp,82,68,1.7,C,3.431818182,28.2994977,3.823529412,0.954545455,total,2.392045455,19.72531214,2.779411765,,59
39,Red maple - sensitive fern swamp,Northern swamp,62,25,1.805,C,2.693641618,13.46820809,3.76,0.774566474,1,1.809248555,9.046242775,2.84,400,59
39,Red maple - sensitive fern swamp,Northern swamp,63,32,1.805,C,3.601449275,20.37287364,3.59375,0.949275362,2,2.797101449,15.82279522,2.875,400,59
39,Red maple - sensitive fern swamp,Northern swamp,64,54,1.805,C,3.073770492,22.58750787,3.685185185,0.885245902,Total site,2.245901639,16.50393909,2.851851852,,59
53,Hardwood river terrace forest,Large river floodplain,84,21,1.82966281,C,3.064748201,14.04444062,4.285714286,0.708633094,1,2.751798561,12.6103252,4.142857143,400,82
56,Hardwood river terrace forest,Large river floodplain,87,30,1.875333333,C,3.610294118,19.77439527,3.433333333,0.955882353,1,3.279411765,17.96207799,3.066666667,400,82
56,Hardwood river terrace forest,Large river floodplain,88,25,1.875333333,C,3.54601227,17.73006135,3.84,0.987730061,2,3.049079755,15.24539877,3.64,400,82
163,Silver maple floodplain forest,Large river floodplain,232,18,1.983333333,C,4.593220339,19.4873835,2.888888889,0.855932203,,4.610169492,19.55929266,2.888888889,,82
143,Red maple - sensitive fern swamp,Northern swamp,202,45,2.023333333,C,2.523012552,16.92488273,3.711111111,0.728033473,1,1.874476987,12.5743739,2.977777778,,59
46,Red maple - sensitive fern swamp,Northern swamp,75,62,2.105,C,2.950184502,23.229776,3.693548387,0.909594096,1,2.103321033,16.56156638,2.677419355,400,59
110,Silver maple floodplain forest,Large river floodplain,164,28,2.112333333,C,2.359605911,12.48586087,4.142857143,0.571428571,1,2.15270936,11.39106722,3.678571429,400,58
115,Hardwood river terrace forest,Large river floodplain,171,9,2.197333333,C,2.661971831,7.985915493,2.555555556,0.774647887,1,2.014084507,6.042253521,2.333333333,,82
153,Hardwood river terrace forest,Large river floodplain,233,13,2.239666667,C,4.808,17.33549053,4.538461538,0.92,,3.8,13.70109485,4.076923077,,59
101,Hardwood river terrace forest,Large river floodplain,152,37,2.268333333,C,4.399141631,26.75893388,3.540540541,0.991416309,1,3.841201717,23.36511787,2.891891892,400,58
101,Hardwood river terrace forest,Large river floodplain,175,27,2.268333333,C,3.130890052,16.26858193,3.851851852,1,2,2.523560209,13.1128035,3.111111111,400,58
91,Silver maple floodplain forest,Large river floodplain,138,37,2.282666667,C,5.005076142,30.44468962,3.513513514,0.964467005,1,4.944162437,30.07416601,3.189189189,400,82
22,Hardwood river terrace forest,Large river floodplain,27,47,2.294041949,C,3.020080321,20.70462755,3.085106383,0.97188755,1,2.361445783,16.18925665,2.85106383,400,82
114,Silver maple floodplain forest,Large river floodplain,170,38,2.314333333,C,3.914634146,24.13142555,4.157894737,0.981707317,1,2.646341463,16.31314437,3.315789474,,58
52,Hardwood river terrace forest,Large river floodplain,83,26,2.31617976,C,4.743119266,24.18525769,4.115384615,0.917431193,1,4.559633028,23.24965778,4.115384615,400,82
24,Hardwood river terrace forest,Large river floodplain,31,23,2.326666667,C,3.704819277,17.76768908,3.695652174,0.981927711,1,3.325301205,15.94758434,3.608695652,400,82
109,Silver maple floodplain forest,Large river floodplain,163,35,2.330666667,C,4.574850299,27.06517937,3.942857143,0.874251497,1,3.550898204,21.00739707,3.628571429,400,58
51,Hardwood river terrace forest,Large river floodplain,57,39,2.367594838,C,4.610738255,28.79405117,4.256410256,0.959731544,1,4.44966443,27.78814546,4.076923077,400,82
107,Hardwood river terrace forest,Large river floodplain,160,40,2.373333333,C,4.908450704,31.04376802,4.725,0.985915493,1,4.76056338,30.10844645,4.55,400,82
3,Hardwood river terrace forest,Large river floodplain,6,38,2.408333333,C,4.816216216,29.68915068,3.842105263,0.967567568,"1

1",4.772972973,29.42258143,3.736842105,400,82
108,Hardwood river terrace forest,Large river floodplain,162,34,2.411666667,C,2.886597938,16.83161372,4.294117647,0.994845361,1,2.412371134,14.06642003,3.647058824,,58
11,Alder floodplain,Large river floodplain,16,24,2.414785902,C,3.155405405,15.45826635,3.958333333,0.97972973,1,2.27027027,11.12200748,3.5,400,82
28,Silver maple floodplain forest,Large river floodplain,35,18,2.416666667,C,1.845360825,7.829202917,3.666666667,0.474226804,1,1.572164948,6.670130977,3.277777778,400,82
28,Silver maple floodplain forest,Large river floodplain,36,6,2.416666667,C,2.12195122,5.197697747,4,0.469512195,2,1.890243902,4.63013305,3.666666667,400,82
28,Silver maple floodplain forest,Large river floodplain,37,41,2.416666667,C,2.614678899,16.74211383,3.682926829,0.646788991,Overall,2.288990826,14.65669264,3.341463415,,82
132,Hemlock - hardwood pocket swamp,Northern swamp,189,13,2.443333333,C,4.43697479,15.99774011,4.615384615,1,1,3.327731092,11.99830508,3.538461538,,58
130,Silver maple floodplain forest,Large river floodplain,187,23,2.464,C,5.107913669,24.49669339,3.739130435,0.978417266,2,4.769784173,22.87508129,3.260869565,400,58
57,Red maple - sensitive fern swamp,Northern swamp,89,36,2.470672183,C,3.388059701,20.32835821,3.861111111,1,1,2.649253731,15.89552239,3.444444444,400,82
8,Silver maple floodplain forest,Large river floodplain,12,16,2.478333333,C,4.83974359,19.35897436,3.25,0.987179487,1,4.564102564,18.25641026,3.25,400,82
8,Silver maple floodplain forest,Large river floodplain,13,24,2.478333333,C,3.478632479,17.04174915,3.708333333,0.991452991,2,2.709401709,13.27330339,3.291666667,400,82
113,Silver maple floodplain forest,Large river floodplain,169,53,2.486666667,C,3.74251497,27.24592024,4.264150943,0.994011976,1,3.437125749,25.02265315,3.528301887,,58
113,Silver maple floodplain forest,Large river floodplain,195,26,2.486666667,C,4.946666667,25.22314986,4,0.993333333,3,4.873333333,24.84922176,3.730769231,400,58
150,Mixed graminoid - shrub marsh,Wet Meadow / Shrub Marsh,209,10,2.493,C,4.857142857,15.35963435,4,1,1,3.928571429,12.42323366,3.5,400,82
146,Hardwood river terrace forest,Large river floodplain,204,51,2.501666667,B,5.021164021,35.85828349,3.901960784,0.952380952,,4.243386243,30.30383915,3.411764706,,59
2,Alder floodplain,Large river floodplain,5,10,2.507931141,B,4.115207373,13.01342834,3.3,0.986175115,1,3.829493088,12.10992044,2.9,400,82
