ObsArea_Code,Global_Standard,Plot_ID,EO_ID,LAT,LONG,Notes,Formation,Plots_Sname,ObsArea_Name,EcoRegionL3,ecoReg_ecoObs,date,N,Nnat,MeanC,NativeMeanC,FQI,NativeFQI,AdjFQI,PSI,CWMeanC,CWNativeMeanC,CWFQI,CWNativeFQI,CWAdjFQI,RelativeNativeCover,TotalNonNativeCover,TotalNativeCover,VMMI,relativeNativeMonocotCover,countTolerantSpecies,N.OLD.CoC,Nnat.OLD.CoC,MeanC.OLD.CoC,NativeMeanC.OLD.CoC,FQI.OLD.CoC,NativeFQI.OLD.CoC,AdjFQI.OLD.CoC,PSI.OLD.CoC,CWMeanC.OLD.CoC,CWNativeMeanC.OLD.CoC,CWFQI.OLD.CoC,CWNativeFQI.OLD.CoC,CWAdjFQI.OLD.CoC,RelativeNativeCover.OLD.CoC,TotalNonNativeCover.OLD.CoC,TotalNativeCover.OLD.CoC,VMMI.OLD.CoC,relativeNativeMonocotCover.OLD.CoC,countTolerantSpecies.OLD.CoC,SIZE_RATING_CD,CONDITION_RATING_CD,LAND_CONTEXT_RATING_CD,OVERALL_EO_RANK,ELEMENT_GLOBAL_ID,ELCODE,SCIENTIFIC_NAME,COLLOQUIAL_NAME,CONCATENATED_CD,CLASS_CODE,SUBCLASS_CODE,FORMATION_CODE,DIVISION_CODE,CLASS,SUBCLASS,FORMATION,DIVISION_KEY,DIVISION,MACROGROUP_KEY,MACROGROUP_NAME,GROUP_KEY,GROUP_NAME,ALLIANCE_KEY,ALLIANCE_NAME,SORT,TRANSLATED_NAME,COMMON_NAME
VT814,CEGL006534,814,6345,44.555126,-72.799243,Map from merge shp,Cliffs and Talus,Talus,Smuggler's Notch; plot #09; town of CAMBRIDGE,58,58,8/5/1999,34,31,4.117647059,4.516129032,24.00980192,25.14474228,43.12287725,0.739551244,4.363961814,4.470660147,25.44605141,24.89158224,42.68871137,0.976133652,4,163.6,,,20,34,31,3.94,4.32,22.98,24.07,41.27,0.71,4,4.09,23.3,22.79,39.08,0.98,4,163.6,48.32,0,22,0,0,0,A,687388,CEGL006534,"Polypodium (virginianum, appalachianum) / Lichens Nonvascular Vegetation",Northern Lichen Talus Barrens,6.B.1.Na.1.c,6,6.B,6.B.1,6.B.1.Na,6 Open Rock Vegetation,6.B Temperate & Boreal Open Rock Vegetation,"6.B.1 Temperate & Boreal Cliff, Scree & Other Rock Vegetation",D051,"6.B.1.Na Eastern North American Temperate & Boreal Cliff, Scree & Rock Vegetation",M111,Eastern North American Cliff & Rock Vegetation,G840,Appalachian Cliff & Rock Vegetation,A4229,Appalachian-Northeastern Acidic Talus Alliance,"6.B.1.Na.1.cEastern North American Cliff & Rock VegetationAppalachian Cliff & Rock VegetationAppalachian-Northeastern Acidic Talus AlliancePolypodium (virginianum, appalachianum) / Lichens Nonvascular Vegetation",Appalachian-Northeastern Acidic Talus Alliance,Appalachian-Northeastern Acidic Talus
VT345,CEGL005038,345,875,44.5737,-73.1688,From NC EO,Floodplain Forests,Floodplain Forest,Mallets Creek Marsh; town of COLCHESTER,1,83,9/18/1991,34,31,3.823529412,4.193548387,22.29481607,23.34868926,40.04267174,0.686726155,3.219271148,3.574759941,18.7714152,19.90342101,34.13408542,0.900555898,16.1,145.7999986,,,24,34,30,3.56,4.03,20.75,22.09,37.89,0.65,3,3.8,17.49,20.81,35.69,0.79,34.1,127.8,41.27,0,23,0,0,0,B,688421,CEGL005038,"Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest",Maple - Ash - Elm Swamp Forest,1.B.3.Na.2.c,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American-Great Plains Flooded & Swamp Forest,M503,Central Hardwood Swamp Forest,G597,Central Hardwood Flatwoods & Swamp Forest,A3881,Acer rubrum - Fraxinus spp. - Quercus bicolor Swamp Forest Alliance,"1.B.3.Na.2.cCentral Hardwood Swamp ForestCentral Hardwood Flatwoods & Swamp ForestAcer rubrum - Fraxinus spp. - Quercus bicolor Swamp Forest AllianceAcer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest",Red Maple - Ash species - Swamp White Oak Swamp Forest Alliance,Red Maple - Ash - Swamp White Oak Swamp Forest
VT348,CEGL005038,348,161,43.8796,-73.1283,From NC EO,Floodplain Forests,Floodplain Forest,Salisbury Swamp; town of LEICESTER,1,83,6/15/1993,15,15,4.6,4.6,17.81572339,17.81572339,46,1.187714893,3.670355002,3.670355002,14.2152238,14.2152238,36.70355002,1,0,216.9,,,8,15,14,4.47,4.79,17.3,17.91,46.23,1.19,3.18,3.22,12.32,12.06,31.15,0.99,3,213.9,53.46,0,7,A,A,B,A,688421,CEGL005038,"Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest",Maple - Ash - Elm Swamp Forest,1.B.3.Na.2.c,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American-Great Plains Flooded & Swamp Forest,M503,Central Hardwood Swamp Forest,G597,Central Hardwood Flatwoods & Swamp Forest,A3881,Acer rubrum - Fraxinus spp. - Quercus bicolor Swamp Forest Alliance,"1.B.3.Na.2.cCentral Hardwood Swamp ForestCentral Hardwood Flatwoods & Swamp ForestAcer rubrum - Fraxinus spp. - Quercus bicolor Swamp Forest AllianceAcer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest",Red Maple - Ash species - Swamp White Oak Swamp Forest Alliance,Red Maple - Ash - Swamp White Oak Swamp Forest
VT589,CEGL006114,589,331,42.80513,-73.27494,Map from merge shp,Floodplain Forests,Floodplain Forest,North Pownal Bend; plot #2; town of POWNAL,58,58,10/7/1997,12,9,3.416666667,4.555555556,11.83568052,13.66666667,39.45226839,1.138888889,4.558536561,5.14521676,15.79123387,15.43565028,44.55888422,0.885975611,18.7,145.3000015,,,7,12,9,3.58,4.78,12.41,14.33,41.38,1.19,4.34,4.89,15.02,14.68,42.38,0.89,18.7,145.3,47.1,0,7,A,A,B,B,685636,CEGL006114,Acer saccharum - Fraxinus spp. - Tilia americana / Matteuccia struthiopteris - Ageratina altissima Floodplain Forest,Terrace Hardwood Floodplain Forest,1.B.3.Na.3.a,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American-Great Plains Flooded & Swamp Forest,M504,Laurentian-Acadian-North Atlantic Coastal Flooded & Swamp Forest,G653,Silver Maple - Green Ash - Black Ash Floodplain Forest,A3714,Acer saccharum - Tilia americana Mesic Floodplain Forest Alliance,1.B.3.Na.3.aLaurentian-Acadian-North Atlantic Coastal Flooded & Swamp ForestSilver Maple - Green Ash - Black Ash Floodplain ForestAcer saccharum - Tilia americana Mesic Floodplain Forest AllianceAcer saccharum - Fraxinus spp. - Tilia americana / Matteucci,Sugar Maple - American Basswood Mesic Floodplain Forest Alliance,Sugar Maple - American Basswood Mesic Floodplain Forest
VT590,CEGL006114,590,331,42.80513,-73.27494,Map from merge shp,Floodplain Forests,Floodplain Forest,North Pownal Bend; plot #1; town of POWNAL,58,58,10/7/1997,23,16,3.47826087,5,16.68115312,20,41.70288281,0.869565217,3.195330036,4.384473187,15.32426452,17.53789275,36.5690343,0.728783117,60.40000001,162.3000008,,,12,25,17,3.32,4.88,16.6,20.13,40.26,0.81,2.89,3.98,14.47,16.4,32.8,0.73,60.9,162.5,40.82,0,16,A,A,B,B,685636,CEGL006114,Acer saccharum - Fraxinus spp. - Tilia americana / Matteuccia struthiopteris - Ageratina altissima Floodplain Forest,Terrace Hardwood Floodplain Forest,1.B.3.Na.3.a,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American-Great Plains Flooded & Swamp Forest,M504,Laurentian-Acadian-North Atlantic Coastal Flooded & Swamp Forest,G653,Silver Maple - Green Ash - Black Ash Floodplain Forest,A3714,Acer saccharum - Tilia americana Mesic Floodplain Forest Alliance,1.B.3.Na.3.aLaurentian-Acadian-North Atlantic Coastal Flooded & Swamp ForestSilver Maple - Green Ash - Black Ash Floodplain ForestAcer saccharum - Tilia americana Mesic Floodplain Forest AllianceAcer saccharum - Fraxinus spp. - Tilia americana / Matteucci,Sugar Maple - American Basswood Mesic Floodplain Forest Alliance,Sugar Maple - American Basswood Mesic Floodplain Forest
VT591,CEGL006114,591,3430,42.89715,-73.22122,Map from merge shp,Floodplain Forests,Floodplain Forest,Silk Road Floodplain; town of BENNINGTON,58,58,10/6/1997,32,25,3.4375,4.4,19.44543648,22,38.89087297,0.6875,3.454654871,4.959101373,19.54247909,24.79550686,43.83267762,0.69662921,75.6,173.599997,,,21,33,25,3.27,4.32,18.8,21.6,37.6,0.65,3.13,4.55,17.98,22.74,39.58,0.69,78.6,173.6,36.58,0,24,0,0,0,B,685636,CEGL006114,Acer saccharum - Fraxinus spp. - Tilia americana / Matteuccia struthiopteris - Ageratina altissima Floodplain Forest,Terrace Hardwood Floodplain Forest,1.B.3.Na.3.a,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American-Great Plains Flooded & Swamp Forest,M504,Laurentian-Acadian-North Atlantic Coastal Flooded & Swamp Forest,G653,Silver Maple - Green Ash - Black Ash Floodplain Forest,A3714,Acer saccharum - Tilia americana Mesic Floodplain Forest Alliance,1.B.3.Na.3.aLaurentian-Acadian-North Atlantic Coastal Flooded & Swamp ForestSilver Maple - Green Ash - Black Ash Floodplain ForestAcer saccharum - Tilia americana Mesic Floodplain Forest AllianceAcer saccharum - Fraxinus spp. - Tilia americana / Matteucci,Sugar Maple - American Basswood Mesic Floodplain Forest Alliance,Sugar Maple - American Basswood Mesic Floodplain Forest
VT592,CEGL006114,592,5847,43.70155,-72.40849,Map from merge shp,Floodplain Forests,Floodplain Forest,White River-Dimick Brook Mouth; town of HARTFORD,58,58,7/22/1997,47,41,3.680851064,4.219512195,25.23464353,27.01806081,39.4098921,0.574852358,3.53929659,4.319554887,24.26419495,27.65864659,40.3442825,0.819366042,41.6,188.699997,,,28,47,41,3.64,4.17,24.94,26.71,38.95,0.57,3.23,3.95,22.17,25.28,36.87,0.82,41.6,188.7,40.33,0,31,B,C,B,BC,685636,CEGL006114,Acer saccharum - Fraxinus spp. - Tilia americana / Matteuccia struthiopteris - Ageratina altissima Floodplain Forest,Terrace Hardwood Floodplain Forest,1.B.3.Na.3.a,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American-Great Plains Flooded & Swamp Forest,M504,Laurentian-Acadian-North Atlantic Coastal Flooded & Swamp Forest,G653,Silver Maple - Green Ash - Black Ash Floodplain Forest,A3714,Acer saccharum - Tilia americana Mesic Floodplain Forest Alliance,1.B.3.Na.3.aLaurentian-Acadian-North Atlantic Coastal Flooded & Swamp ForestSilver Maple - Green Ash - Black Ash Floodplain ForestAcer saccharum - Tilia americana Mesic Floodplain Forest AllianceAcer saccharum - Fraxinus spp. - Tilia americana / Matteucci,Sugar Maple - American Basswood Mesic Floodplain Forest Alliance,Sugar Maple - American Basswood Mesic Floodplain Forest
VT593,CEGL006114,593,3823,43.719621,-72.421754,Map from merge shp,Floodplain Forests,Floodplain Forest,Appalachian Trail Crossing; town of HARTFORD,58,58,8/16/1997,39,28,3.153846154,4.392857143,19.69576292,23.24481509,37.22149326,0.5960209,3.081915567,3.773919768,19.24655655,19.96970635,31.97712209,0.816635158,29.10000005,129.5999982,,,27,40,29,3.2,4.41,20.24,23.77,37.58,0.59,3.3,4.03,20.87,21.71,34.32,0.82,28.8,130.1,38.47,0,28,0,C,B,BC,685636,CEGL006114,Acer saccharum - Fraxinus spp. - Tilia americana / Matteuccia struthiopteris - Ageratina altissima Floodplain Forest,Terrace Hardwood Floodplain Forest,1.B.3.Na.3.a,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American-Great Plains Flooded & Swamp Forest,M504,Laurentian-Acadian-North Atlantic Coastal Flooded & Swamp Forest,G653,Silver Maple - Green Ash - Black Ash Floodplain Forest,A3714,Acer saccharum - Tilia americana Mesic Floodplain Forest Alliance,1.B.3.Na.3.aLaurentian-Acadian-North Atlantic Coastal Flooded & Swamp ForestSilver Maple - Green Ash - Black Ash Floodplain ForestAcer saccharum - Tilia americana Mesic Floodplain Forest AllianceAcer saccharum - Fraxinus spp. - Tilia americana / Matteucci,Sugar Maple - American Basswood Mesic Floodplain Forest Alliance,Sugar Maple - American Basswood Mesic Floodplain Forest
VT594,CEGL006114,594,4382,43.77727,-72.44758,Map from merge shp,Floodplain Forests,Floodplain Forest,White River WMA; town of SHARON,58,58,7/14/1997,11,6,2.181818182,4,7.23627227,9.797958971,29.54195784,0.890723543,3.527227723,4.384615385,11.69849091,10.74007041,32.3825307,0.804455446,39.5,162.5,,,8,11,6,1.91,3.5,6.33,8.57,25.85,0.78,3.2,3.98,10.61,9.75,29.38,0.8,39.5,162.5,39.49,0,9,A,B,B,A,685636,CEGL006114,Acer saccharum - Fraxinus spp. - Tilia americana / Matteuccia struthiopteris - Ageratina altissima Floodplain Forest,Terrace Hardwood Floodplain Forest,1.B.3.Na.3.a,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American-Great Plains Flooded & Swamp Forest,M504,Laurentian-Acadian-North Atlantic Coastal Flooded & Swamp Forest,G653,Silver Maple - Green Ash - Black Ash Floodplain Forest,A3714,Acer saccharum - Tilia americana Mesic Floodplain Forest Alliance,1.B.3.Na.3.aLaurentian-Acadian-North Atlantic Coastal Flooded & Swamp ForestSilver Maple - Green Ash - Black Ash Floodplain ForestAcer saccharum - Tilia americana Mesic Floodplain Forest AllianceAcer saccharum - Fraxinus spp. - Tilia americana / Matteucci,Sugar Maple - American Basswood Mesic Floodplain Forest Alliance,Sugar Maple - American Basswood Mesic Floodplain Forest
VT595,CEGL006114,595,4382,43.7721,-72.44911,Map from merge shp,Floodplain Forests,Floodplain Forest,White River WMA; town of SHARON,58,58,7/14/1997,18,14,3.277777778,4.214285714,13.90643336,15.76841327,37.16650651,0.87602296,4.540672449,4.577911425,19.26444168,17.1289761,40.37338385,0.99186551,1.500000007,182.9000008,,,12,18,15,3.28,3.93,13.91,15.23,35.91,0.85,4.17,4.2,17.69,16.26,38.33,0.99,1.3,183.1,47.2,0,13,A,B,B,A,685636,CEGL006114,Acer saccharum - Fraxinus spp. - Tilia americana / Matteuccia struthiopteris - Ageratina altissima Floodplain Forest,Terrace Hardwood Floodplain Forest,1.B.3.Na.3.a,1,1.B,1.B.3,1.B.3.Na,1 Forest & Woodland,1.B Temperate & Boreal Forest & Woodland,1.B.3 Temperate Flooded & Swamp Forest,D011,1.B.3.Na Eastern North American-Great Plains Flooded & Swamp Forest,M504,Laurentian-Acadian-North Atlantic Coastal Flooded & Swamp Forest,G653,Silver Maple - Green Ash - Black Ash Floodplain Forest,A3714,Acer saccharum - Tilia americana Mesic Floodplain Forest Alliance,1.B.3.Na.3.aLaurentian-Acadian-North Atlantic Coastal Flooded & Swamp ForestSilver Maple - Green Ash - Black Ash Floodplain ForestAcer saccharum - Tilia americana Mesic Floodplain Forest AllianceAcer saccharum - Fraxinus spp. - Tilia americana / Matteucci,Sugar Maple - American Basswood Mesic Floodplain Forest Alliance,Sugar Maple - American Basswood Mesic Floodplain Forest
